Training completed for 100000 timesteps.
Using device: cpu
Evaluation of the best agent (on timestamp 40000) over 100 episodes:
Mean Reward: 0.12, Std Reward: 0.32

*Evaluation of all agents over 100 episodes, in chronological order*

5000 - Mean Reward: 0.00, Std Reward: 0.00
10000 - Mean Reward: 0.00, Std Reward: 0.00
15000 - Mean Reward: 0.10, Std Reward: 0.30
20000 - Mean Reward: 0.07, Std Reward: 0.25
25000 - Mean Reward: 0.08, Std Reward: 0.27
30000 - Mean Reward: 0.00, Std Reward: 0.00
35000 - Mean Reward: 0.00, Std Reward: 0.00
40000 - Mean Reward: 0.12, Std Reward: 0.32
45000 - Mean Reward: 0.07, Std Reward: 0.25
50000 - Mean Reward: 0.00, Std Reward: 0.00
55000 - Mean Reward: 0.00, Std Reward: 0.00
60000 - Mean Reward: 0.00, Std Reward: 0.00
65000 - Mean Reward: 0.07, Std Reward: 0.25
70000 - Mean Reward: 0.07, Std Reward: 0.25
75000 - Mean Reward: 0.00, Std Reward: 0.00
80000 - Mean Reward: 0.00, Std Reward: 0.00
85000 - Mean Reward: 0.00, Std Reward: 0.00
90000 - Mean Reward: 0.00, Std Reward: 0.00
95000 - Mean Reward: 0.00, Std Reward: 0.00
100000 - Mean Reward: 0.00, Std Reward: 0.00
