Training completed for 100000 timesteps.
Using device: cpu
Evaluation of the best agent (on timestamp 55000) over 100 episodes:
Mean Reward: 0.12, Std Reward: 0.32

*Evaluation of all agents over 100 episodes, in chronological order*

5000 - Mean Reward: 0.03, Std Reward: 0.17
10000 - Mean Reward: 0.08, Std Reward: 0.27
15000 - Mean Reward: 0.09, Std Reward: 0.28
20000 - Mean Reward: 0.08, Std Reward: 0.27
25000 - Mean Reward: 0.11, Std Reward: 0.31
30000 - Mean Reward: 0.07, Std Reward: 0.25
35000 - Mean Reward: 0.06, Std Reward: 0.24
40000 - Mean Reward: 0.11, Std Reward: 0.31
45000 - Mean Reward: 0.09, Std Reward: 0.28
50000 - Mean Reward: 0.07, Std Reward: 0.25
55000 - Mean Reward: 0.12, Std Reward: 0.32
60000 - Mean Reward: 0.11, Std Reward: 0.31
65000 - Mean Reward: 0.06, Std Reward: 0.24
70000 - Mean Reward: 0.05, Std Reward: 0.22
75000 - Mean Reward: 0.05, Std Reward: 0.22
80000 - Mean Reward: 0.04, Std Reward: 0.19
85000 - Mean Reward: 0.06, Std Reward: 0.24
90000 - Mean Reward: 0.01, Std Reward: 0.10
95000 - Mean Reward: 0.02, Std Reward: 0.14
100000 - Mean Reward: 0.02, Std Reward: 0.14
