Training completed for 100000 timesteps.
Using device: cpu
Evaluation of the best agent (on timestamp 95000) over 100 episodes:
Mean Reward: 0.97, Std Reward: 0.01

*Evaluation of all agents over 100 episodes, in chronological order*

5000 - Mean Reward: 0.10, Std Reward: 0.30
10000 - Mean Reward: 0.13, Std Reward: 0.33
15000 - Mean Reward: 0.08, Std Reward: 0.27
20000 - Mean Reward: 0.13, Std Reward: 0.33
25000 - Mean Reward: 0.35, Std Reward: 0.47
30000 - Mean Reward: 0.66, Std Reward: 0.45
35000 - Mean Reward: 0.65, Std Reward: 0.45
40000 - Mean Reward: 0.40, Std Reward: 0.47
45000 - Mean Reward: 0.90, Std Reward: 0.23
50000 - Mean Reward: 0.68, Std Reward: 0.44
55000 - Mean Reward: 0.47, Std Reward: 0.48
60000 - Mean Reward: 0.88, Std Reward: 0.28
65000 - Mean Reward: 0.79, Std Reward: 0.37
70000 - Mean Reward: 0.18, Std Reward: 0.38
75000 - Mean Reward: 0.67, Std Reward: 0.44
80000 - Mean Reward: 0.90, Std Reward: 0.25
85000 - Mean Reward: 0.96, Std Reward: 0.02
90000 - Mean Reward: 0.97, Std Reward: 0.01
95000 - Mean Reward: 0.97, Std Reward: 0.01
100000 - Mean Reward: 0.83, Std Reward: 0.34
