Training completed for 150000 timesteps.
Using device: cpu
Evaluation of the best agent (on timestamp 60000) over 100 episodes:
Mean Reward: 0.12, Std Reward: 0.32

*Evaluation of all agents over 100 episodes, in chronological order*

7500 - Mean Reward: 0.00, Std Reward: 0.00
15000 - Mean Reward: 0.09, Std Reward: 0.28
22500 - Mean Reward: 0.09, Std Reward: 0.28
30000 - Mean Reward: 0.09, Std Reward: 0.28
37500 - Mean Reward: 0.00, Std Reward: 0.00
45000 - Mean Reward: 0.11, Std Reward: 0.31
52500 - Mean Reward: 0.06, Std Reward: 0.24
60000 - Mean Reward: 0.12, Std Reward: 0.32
67500 - Mean Reward: 0.00, Std Reward: 0.00
75000 - Mean Reward: 0.05, Std Reward: 0.22
82500 - Mean Reward: 0.11, Std Reward: 0.31
90000 - Mean Reward: 0.08, Std Reward: 0.27
97500 - Mean Reward: 0.06, Std Reward: 0.24
105000 - Mean Reward: 0.08, Std Reward: 0.27
112500 - Mean Reward: 0.09, Std Reward: 0.28
120000 - Mean Reward: 0.09, Std Reward: 0.28
127500 - Mean Reward: 0.06, Std Reward: 0.24
135000 - Mean Reward: 0.08, Std Reward: 0.27
142500 - Mean Reward: 0.09, Std Reward: 0.28
150000 - Mean Reward: 0.08, Std Reward: 0.27
