Training completed for 100000 timesteps.
Using device: cpu
Evaluation of the best agent (on timestamp 25000) over 100 episodes:
Mean Reward: 12.85, Std Reward: 8.95

*Evaluation of all agents over 100 episodes, in chronological order*

5000 - Mean Reward: 10.50, Std Reward: 6.67
10000 - Mean Reward: 11.98, Std Reward: 6.57
15000 - Mean Reward: 11.68, Std Reward: 6.51
20000 - Mean Reward: 9.92, Std Reward: 9.55
25000 - Mean Reward: 12.85, Std Reward: 8.95
30000 - Mean Reward: 12.56, Std Reward: 7.87
35000 - Mean Reward: 6.21, Std Reward: 4.06
40000 - Mean Reward: 4.15, Std Reward: 1.90
45000 - Mean Reward: 10.55, Std Reward: 5.69
50000 - Mean Reward: 5.90, Std Reward: 2.69
55000 - Mean Reward: 4.64, Std Reward: 2.79
60000 - Mean Reward: 5.49, Std Reward: 0.77
65000 - Mean Reward: 4.28, Std Reward: 0.49
70000 - Mean Reward: 4.51, Std Reward: 3.02
75000 - Mean Reward: 5.00, Std Reward: 2.03
80000 - Mean Reward: 4.80, Std Reward: 2.08
85000 - Mean Reward: 4.31, Std Reward: 1.10
90000 - Mean Reward: 3.59, Std Reward: 0.69
95000 - Mean Reward: 4.22, Std Reward: 1.11
100000 - Mean Reward: 4.52, Std Reward: 3.02
