Training completed for 100000 timesteps.
Using device: cpu
Evaluation of the best agent (on timestamp 10000) over 100 episodes:
Mean Reward: 0.08, Std Reward: 0.27

*Evaluation of all agents over 100 episodes, in chronological order*

5000 - Mean Reward: 0.00, Std Reward: 0.00
10000 - Mean Reward: 0.08, Std Reward: 0.27
15000 - Mean Reward: 0.00, Std Reward: 0.00
20000 - Mean Reward: 0.00, Std Reward: 0.00
25000 - Mean Reward: 0.00, Std Reward: 0.00
30000 - Mean Reward: 0.00, Std Reward: 0.00
35000 - Mean Reward: 0.00, Std Reward: 0.00
40000 - Mean Reward: 0.00, Std Reward: 0.00
45000 - Mean Reward: 0.00, Std Reward: 0.00
50000 - Mean Reward: 0.00, Std Reward: 0.00
55000 - Mean Reward: 0.00, Std Reward: 0.00
60000 - Mean Reward: 0.00, Std Reward: 0.00
65000 - Mean Reward: 0.00, Std Reward: 0.00
70000 - Mean Reward: 0.00, Std Reward: 0.00
75000 - Mean Reward: 0.00, Std Reward: 0.00
80000 - Mean Reward: 0.02, Std Reward: 0.14
85000 - Mean Reward: 0.00, Std Reward: 0.00
90000 - Mean Reward: 0.00, Std Reward: 0.00
95000 - Mean Reward: 0.00, Std Reward: 0.00
100000 - Mean Reward: 0.00, Std Reward: 0.00
